Image,Owner,Owner Page,Image Page
List,FreePik,https://www.freepik.com/,https://www.flaticon.com/free-icon/list_1027221
Database,FreePik,https://www.freepik.com/,https://www.flaticon.com/free-icon/server_689401
Neural Network,FreePik,https://www.freepik.com/,https://www.flaticon.com/free-icon/deep-learning_8637113
JSON,Lab Design Studio,https://www.flaticon.com/authors/lab-design-studio,https://www.flaticon.com/free-icon/folder_11570271
Web Page,fauzidea,https://www.flaticon.com/authors/fauzidea,https://www.flaticon.com/free-icon/website_2931281
Cleaning,smashicons,https://www.flaticon.com/authors/smashicons,https://www.flaticon.com/free-icon/broom_2946620
Graph,FreePik,https://www.freepik.com/,https://www.flaticon.com/free-icon/global-network_4207230
Chain,juicy-fish,https://www.flaticon.com/authors/juicy-fish,https://www.flaticon.com/free-icon/chain_4380990
Documents,FreePik,https://www.freepik.com/,https://www.flaticon.com/free-icon/documents_1548204
Structure,mynamepong,https://www.flaticon.com/authors/mynamepong,https://www.flaticon.com/free-icon/analysis_809497
Licensing,FreePik,https://www.freepik.com/,https://www.flaticon.com/free-icon/legal-document_2912861
Analysis,monkik,https://www.flaticon.com/authors/monkik,https://www.flaticon.com/free-icon/data_993762